municipality_id,district_id,municipality_name,number_of_wards
475,46,Rishing,8
476,46,Ghiring,5
477,46,Myagde,7
478,47,Kapilvastu,12
479,47,Banganga,11
480,47,Buddhabhumi,10
481,47,Shivaraj,11
482,47,Krishnanagar,12
483,47,Maharajgunj,11
484,47,Mayadevi,8
485,47,Yashodhara,8
486,47,Suddhodan,6
487,47,Bijaynagar,7
488,48,Bardaghat,16
489,48,Ramgram,18
490,48,Sunwal,13
491,48,Susta,5
492,48,Palhi Nandan,6
493,48,Pratappur,9
494,48,Sarawal,7
495,49,Butwal,19
496,49,Devdaha,12
497,49,Lumbini Sanskritik,13
498,49,Sainamaina,11
499,49,Siddharthanagar,13
500,49,Tilottama,17
501,49,Gaidahawa,9
502,49,Kanchan,5
503,49,Kotahimai,7
504,49,Marchawari,7
505,49,Mayadevi,8
506,49,Omsatiya,6
507,49,Rohini,7
508,49,Sammarimai,7
509,49,Siyari,7
510,49,Suddodhan,7
511,50,Sandhikharka,12
512,50,Sitganga,14
513,50,Bhumikasthan,10
514,50,Chhatradev,8
515,50,Panini,8
516,50,Malarani,9
517,51,Resunga,14
518,51,Musikot,9
519,51,Rurukshetra,6
520,51,Chhatrakot,6
521,51,Gulmidarbar,7
522,51,Chandrakot,8
523,51,Satyawati,8
524,51,Dhurkot,7
525,51,Kaligandaki,7
526,51,Isma,6
527,51,Malika,8
528,51,Madane,7
529,52,Tansen,14
530,52,Rampur,10
531,52,Rainadevi Chhahara,8
532,52,Ripdikot,8
533,52,Bagnaskali,9
534,52,Rambha,5
535,52,Purbakhola,6
536,52,Nisdi,7
537,52,Mathagadhi,8
538,52,Tinahu,6
539,53,Ghorahi,19
540,53,Tulsipur,19
541,53,Lamahi,9
542,53,Gadhawa,8
543,53,Rajpur,7
544,53,Shantinagar,7
545,53,Rapti,9
546,53,Banglachuli,8
547,53,Dangisharan,7
548,53,Babai,7
549,54,Sworgadwari,9
550,54,Pyuthan,10
551,54,Mandavi,5
552,54,Sarumarani,6
553,54,Ayirawati,6
554,54,Mallarani,5
555,54,Jhimruk,8
556,54,Naubahini,8
557,54,Gaumukhi,7
558,55,Rolpa,10
559,55,Runtigadi,9
560,55,Triveni,7
561,55,Sunil Smiriti,8
562,55,Lungri,7
563,55,Sunchhahari,7
564,55,Thawang,5
565,55,Madi,6
566,55,GangaDev,7
567,55,Pariwartan,6
568,56,Putha Uttarganga,14
569,56,Bhume,9
570,56,Sisne,8
571,57,Nepalgunj,23
572,57,Kohalpur,15
573,57,Rapti-Sonari,9
574,57,Narainapur,6
575,57,Duduwa,6
576,57,Janaki,6
577,57,Khajura,8
578,57,Baijanath,8
579,58,Gulariya,12
580,58,Rajapur,10
581,58,Madhuwan,9
582,58,Thakurbaba,9
583,58,Basgadhi,9
584,58,Barbardiya,11
585,58,Badhaiyatal,9
586,58,Geruwa,6
587,59,Aathabiskot,14
588,59,Musikot,14
589,59,Chaurjahari,14
590,59,SaniBheri,11
591,59,Triveni,10
592,59,Banphikot,10
593,60,Kumakh,7
594,60,Kalimati,7
595,60,Chhatreshwari,7
596,60,Darma,6
597,60,Kapurkot,6
598,60,Triveni,6
599,60,Siddha Kumakh,5
600,60,Bagchaur,12
601,60,Shaarda,15
602,60,Bangad Kupinde,12
603,61,Mudkechula,9
604,61,Kaike,7
605,61,She Phoksundo,9
606,61,Jagadulla,6
607,61,Dolpo Buddha,6
608,61,Chharka Tongsong,6
609,61,Thuli Bheri,11
610,61,Tripurasundari,11
611,62,Simkot,8
612,62,Sarkegad,8
613,62,Adanchuli,6
614,62,Kharpunath,5
615,62,Tanjakot,5
616,62,Chankheli,6
617,62,Namkha,6
618,63,Tatopani,8
619,63,Patarasi,7
620,63,Tila,9
621,63,Kanaka Sundari,8
622,63,Sinja,6
623,63,Hima,7
624,63,Guthichaur,5
625,63,Chandannath,10
626,64,Khandachakra,11
627,64,Raskot,9
628,64,Tilagufa,11
629,64,Narharinath,9
630,64,Palata,9
631,64,Shubha Kalika,8
632,64,Sanni Triveni,9
633,64,Pachaljharana,9
634,64,Mahawai,7
635,65,Khatyad,11
636,65,Soru,11
637,65,Mugum Karmarong,9
638,65,Chhayanath Rara,14
639,66,Simta,9
640,66,Barahatal,10
641,66,Chaukune,10
642,66,Chingad,6
643,66,Gurbhakot,14
644,66,Birendranagar,16
645,66,Bheriganga,13
646,66,Panchapuri,11
647,66,Lekbeshi,10
648,67,Dullu,13
649,67,Gurans,8
650,67,Bhairabi,7
651,67,Naumule,8
652,67,Mahabu,6
653,67,Thantikandh,6
654,67,Bhagawatimai,7
655,67,Dungeshwar,6
656,67,Aathabis,9
657,67,Narayan,11
658,67,Chamunda Bindrasaini,9
659,68,Chhedagad,13
660,68,Bheri,13
661,68,Nalgad,13
662,68,Junichande,11
663,68,Kuse,9
664,68,Barekot,9
665,68,Shivalaya,9
666,69,Mahakali,9
667,69,Shailyashikhar,9
668,69,Naugad,6
669,69,Malikarjun,8
670,69,Marma,6
671,69,Lekam,6
672,69,Duhun,5
673,69,Vyans,6
674,69,Apihimal,6
675,70,Jayaprithvi,11
676,70,Bungal,11
677,70,Kedarsyu,9
678,70,Thalara,9
679,70,Bitthadchir,9
680,70,Chhabis Pathibhera,7
681,70,Khaptadchhanna,7
682,70,Masta,7
683,70,Durgathali,7
684,70,Talkot,7
685,70,Surma,5
686,70,Saipal,5
687,71,Badimalika,9
688,71,Triveni,9
689,71,Budhiganga,10
690,71,Budhinanda,10
691,71,Khaptad Chhededaha,7
692,71,Swami Kartik Khapar,5
693,71,Jagannath,6
694,71,Himali,7
695,71,Gaumul,6
696,72,Dashrathchanda,11
697,72,Patan,10
698,72,Melauli,9
699,72,Purchaudi,10
700,72,Dogdakedar,8
701,72,Dilashaini,7
702,72,Sigas,9
703,72,Pancheshwar,6
704,72,Surnaya,8
705,72,Shivanath,6
706,73,Dipayal Silgadhi,9
707,73,Shikhar,11
708,73,Aadarsha,7
709,73,Purbichauki,7
710,73,K.I.Singh,7
711,73,Jorayal,6
712,73,Sayal,6
713,73,Bogatan-Phudsil,7
714,73,Badikedar,5
715,74,Ramaroshan,7
